epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,learning_rate
1,0.45755969727523627,0.9234,0.059553620598109605,0.9963636363636363,0.001
2,0.012529092682385817,0.997,0.03526671831580726,0.9963636363636363,0.001
3,0.006811528768448625,0.9984,0.022054093681932004,0.9972727272727273,0.001
4,0.003796765385865001,0.9984,0.018464557737024732,0.9963636363636363,0.001
5,0.002728212561958935,0.9996,0.015173747838330615,0.9963636363636363,0.001
6,0.0007463368887241814,0.9998,0.014472222990423854,0.9972727272727273,0.0005
