epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,learning_rate
1,0.8035038818396628,0.8636,0.28139587346464395,0.9490909090909091,0.001
2,0.0708801149688661,0.9938,0.14187746793873057,0.9827272727272728,0.001
3,0.031510069989413025,0.9972,0.10919617642797344,0.98,0.001
4,0.019066018283646555,0.9972,0.08848884645656571,0.9790909090909091,0.001
5,0.012181711553910282,0.9982,0.06692492907373848,0.9881818181818182,0.0005
6,0.009808492084627505,0.9984,0.059392035239624504,0.9890909090909091,0.0005
7,0.008797276642851648,0.998,0.05465628132229695,0.9872727272727273,0.0005
8,0.006928253381059039,0.9982,0.05992571587249751,0.9827272727272728,0.0005
9,0.00587073232500843,0.9984,0.047799807600191674,0.9890909090909091,0.00025
